Account,Primary Trigger,Secondary Trigger,Source,Confidence,Source website,Size,totalFunding,facebook,twitter,linkedin,Geo,Industry,companyName,Specialization,growth6,growth12,growth24,Growth,Domain
Codeium,closed a $150 million Series C round,R&D and growth,this injection of capital will allow us to significantly ramp up R&D and growth while making even larger strategic bets,High,http://techcrunch.com/2024/08/29/github-copilot-competitor-codeium-raises-150m-at-a-1-25b-valuation/,,,,,,,,,,,,,,codeium.com
Codeium,closed a $150 million Series C round,Userbase growth,"Today, the startup has more than 700,000 users and over 1,000 enterprise customers",Medium,http://techcrunch.com/2024/08/29/github-copilot-competitor-codeium-raises-150m-at-a-1-25b-valuation/,,,,,,,,,,,,,,codeium.com
Codeium,closed a $150 million Series C round,New Feature Launch,Codeium has released a generous free tier to start,Medium,http://techcrunch.com/2024/08/29/github-copilot-competitor-codeium-raises-150m-at-a-1-25b-valuation/,,,,,,,,,,,,,,codeium.com
Codeium,closed a $150 million Series C round,Increase Revenue/Profit,Revenue hit eight figures this year,Medium,http://techcrunch.com/2024/08/29/github-copilot-competitor-codeium-raises-150m-at-a-1-25b-valuation/,,,,,,,,,,,,,,codeium.com
Codeium,closed a $150 million Series C round,International Expansion,plans to expand headcount to 120 by 2025,Low,http://techcrunch.com/2024/08/29/github-copilot-competitor-codeium-raises-150m-at-a-1-25b-valuation/,,,,,,,,,,,,,,codeium.com
Anysphere,Series A funding of $60 million at $400 million valuation,Userbase growth,"Anysphere's revenue and usage has also been growing fast, one person said.",Medium,http://techcrunch.com/2024/08/09/anysphere-a-github-copilot-rival-has-raised-60m-series-a-at-400m-valuation-from-a16z-thrive-sources-say/,,,,,,,,,,,,,,techcrunch.com
Anysphere,Series A funding of $60 million at $400 million valuation,New Product Launch,Anysphere was in the process of raising a new round and aiming for a $400 million valuation.,Medium,http://techcrunch.com/2024/08/09/anysphere-a-github-copilot-rival-has-raised-60m-series-a-at-400m-valuation-from-a16z-thrive-sources-say/,,,,,,,,,,,,,,techcrunch.com
Anysphere,Series A funding of $60 million at $400 million valuation,Increase Revenue/Profit,"Anysphere's revenue and usage has also been growing fast, one person said.",Medium,http://techcrunch.com/2024/08/09/anysphere-a-github-copilot-rival-has-raised-60m-series-a-at-400m-valuation-from-a16z-thrive-sources-say/,,,,,,,,,,,,,,techcrunch.com
Anysphere,Series A funding of $60 million at $400 million valuation,Strategic Partnership,The round was co-led by Andreessen Horowitz and Thrive Capital.,High,http://techcrunch.com/2024/08/09/anysphere-a-github-copilot-rival-has-raised-60m-series-a-at-400m-valuation-from-a16z-thrive-sources-say/,,,,,,,,,,,,,,techcrunch.com
Tilt,Series A funding of $18 million,Userbase growth,The company claims to have garnered more than half-a-million users since it was launched early last year.,High,http://techcrunch.com/2024/08/22/tilt-raises-18m-series-a-to-build-on-its-live-shopping-apps-success/,,,,,,,,,,,,,,techcrunch.com
Tilt,Series A funding of $18 million,New Product Launch,"Tilt's real-time streams bring an in-store shopping feel, and the app allows for deals and offers to be made while users are on the stream.",Medium,http://techcrunch.com/2024/08/22/tilt-raises-18m-series-a-to-build-on-its-live-shopping-apps-success/,,,,,,,,,,,,,,techcrunch.com
